websites,,,,,,,,,,,
http://p0f.desi/Login_to_Your_Account(9).htm,,,,,,,,,,,
https://bitly.com/a/warning?hash=2oOkGv9&amp;url=http%3A%2F%2Fphotoserver.96.lt%2F,,,,,,,,,,,
http://goodnessvanillalive.com/xupx/chinko/index.php?email=abuse@pnb.com.ph,,,,,,,,,,,
http://gusp.pt/olasa/driveup/df1300056d9b054301c0650015536105/login.php,,,,,,,,,,,
http://previewphotos.16mb.com/,,,,,,,,,,,
http://matchphotos021.96.lt/index.htm,,,,,,,,,,,
http://karikari.com.br/wa_gallery/,,,,,,,,,,,
http://innoscript.nl/paypal-customer/webapps/c74b1/websrc,,,,,,,,,,,
http://searchtripdeals.com/!!..HXtR77LffQ..!!/home/,,,,,,,,,,,
http://platerom.ro/mygenlvl/products/viewer.php,,,,,,,,,,,
http://piewerks.com/chinex/ogs/draft/mail.htm?cmd=lob=rbglogon&amp;_pagelabel=page_logonform&amp;secured_page,,,,,,,,,,,
http://festivalbecause.org/boks/rap/olsag/almiu.html?SDDSNSADNSDBSDA=SDAHSADGJHDSAHSADGDS7JHSDANSADSDAMBNSNDASDANMBDSAASD5SDBSADBJKNMASNBMDASNMSAD9MNSADBASDMNBSDABSDAMNSDAMNSDA8SADNMSDABNSDMABBMDANNDMSBDASBNASD,,,,,,,,,,,
http://superhousepictures.com/dhl/awb/tracking/DHL%20AUTO/dhl.php?.rand=13InboxLight.aspx?n=1774256418&amp;email=abuse@worldwide.fr&amp;fav.1=&amp;fid=1&amp;fid=4&amp;fid.1=&amp;fid.1252899642=&amp;fid.4.1252899642=&amp;rand=13InboxLightaspxn.1774256418&amp;rand.13InboxLight.aspxn.1774256418=,,,,,,,,,,,
http://liceosanconrado.cl/836gsg5/casts/,,,,,,,,,,,
https://verifyonline.live/new/hass/e175e0395a5fcceb980485ac37f043f1/login.html,,,,,,,,,,,
http://oa.ying-zhuo.com/bbsnew/utrasfc/harghi.html,,,,,,,,,,,
https://goo.gl/dJIYS9?8DEM7RYRRN8ZEGR06BMKFBQTSMGZDHXLC01YTPLRIICWZV0WIT7YYMAUDT97GEQA5LJWDETP5U7W6O2IBBJYTFXR3R1IUE7T3YB9.get,,,,,,,,,,,
http://eveannlovero.com/modules/footer/mp/autoexcel/excel/index.php?email=onxkoxokfxouu.ml,,,,,,,,,,,
http://www.100clubchicago.org/asset/office/350/,,,,,,,,,,,
http://paypal.gb-ppsweb.com/sd/confirm.php?cmd=process,,,,,,,,,,,
https://www.polyplanltd.com/js/en/,,,,,,,,,,,
http://hubenbartl.at/www.google.com/,,,,,,,,,,,
http://www.radaradt.com/portal/libraries/gantry/facets/menu/themes/touch/esp//mxea.php,,,,,,,,,,,
http://www.ecutrack.com/box1/dropbx.php,,,,,,,,,,,
http://gsl.xiyoukeji.com/ueditor/feed/zabbbbbbi.html,,,,,,,,,,,
http://manieyt.tk/?cliente=%25email%25&amp;oid=%25rand6%25,,,,,,,,,,,
http://amazon-check-81.de-support.ru/vetos/anmelden.php?assoc_handle=Gji6IY9QzwCnDqBdAlUSE7ZgbxtaLH&amp;openid_claim=KTDZ4L3fSao5kCNeMRpW&amp;identifier_select=ayiAIKX8OxQfRe3VEwov&amp;pape_max=jxo6VWOXYNc4PAIvHuLzUDmyZlw9eM,,,,,,,,,,,
http://manage.apple.com.webobjectsd5dbc98dcc983a7028bd82d1a47541.divinityhousingprojects.com/7ae1c6c2293e74bc814747a63bde302f/login.html?cgi-bin/WepObjecls/myid.wa/726/wa/WJLJbjIY488eKrOASmkAew/2.0=,,,,,,,,,,,
http://omahcorp.co.id/dx/b0028c287609714d60df89942ca88094/,,,,,,,,,,,
http://deltaseguridadbolivia.com/img/public/,,,,,,,,,,,
http://igforweddingpros.com/hhhhhhh/driveup/66dc158d3547ff71bd59d802589a4704/login.php?cmd=login_submit&amp;id=e7b9e463900f074efb5f7ed29509dba9e7b9e463900f074efb5f7ed29509dba9&amp;session=e7b9e463900f074efb5f7ed29509dba9e7b9e463900f074efb5f7ed29509dba9,,,,,,,,,,,
http://omahcorp.co.id/dx/012962f7ce4c0854415e6bd264535560/,,,,,,,,,,,
http://i-house.se/wp-trackback/en/?83199a1c6dc81bf0be202d27a83fa6ea=&amp;_Email=&amp;cmd=_home&amp;dispatch=1f8f0b48dbdb92536e9f355fe5c05c1210088af655be910b6ee49393c9da77a2,,,,,,,,,,,
http://cic.com.jo/libraries/openid/Auth/OpenID/system/login.php?id=/Secure/promocao.do?=9J8GI90IN/IJSY563/TLR1TV8VVXO0VXT4FDDPW3QGMKFSRITL5MM/IUVESKPPJKT1Y9QVBIC/4TTVDNHIA6IU2FAV21LMLGNKPFH3YV33PW/4LINXO8SQO5NQ60ESQ3EHJWLISOMJMMO07C9VL3NA8B3DMH8ELMX7JJ,,,,,,,,,,,
http://ad-blockeds.com/--/www.impots.gouv.fr/file/dd14aa66803d699fee4b16424002d39d/,,,,,,,,,,,
http://ad-blockeds.com/--/www.impots.gouv.fr/file/cf036cb9af9ed6833821231c37a85a51/,,,,,,,,,,,
http://town-el.com/images/metalware/xkzero/docusign.com/ldcs/index.php,,,,,,,,,,,
http://www.scoreyourexback.com/aol.net/www.aol.com/,,,,,,,,,,,
http://nanotechnopolis.com/validdocument/f4d2dfb73a486890c95a3b59d9090b5f/,,,,,,,,,,,
http://saughallmassie.org/we/seniorpeoplemeet/v3/login.html,,,,,,,,,,,
http://www.paypal-resolveds.com.informations-payments.nut.cc/webapps/11fe9/websrc,,,,,,,,,,,
http://uesi.aesbiz.com/wp-content/themes/twentyfifteen/inc/monn.htm,,,,,,,,,,,
http://www.lhndemo.com/wp-css/update.html,,,,,,,,,,,
http://www.abcroadandlockassistance.com/IWA/GD/,,,,,,,,,,,
http://www.sanitaire-express.fr/skin/frontend/AdobeVerify/index.html,,,,,,,,,,,
http://www.eventhire4u.com/parosky/c20fc985e383229ad100f434ac404397/,,,,,,,,,,,
http://crimsonadvisorygroup.com/wp-admin/online-banking/Cappi/last.php,,,,,,,,,,,
http://crimsonadvisorygroup.com/wp-admin/online-banking/Cappi/One360.php,,,,,,,,,,,
http://hoiniki.by/wp-content/ngg/modules/1/sa/admin.html?cmd=login_submit&id=2bc80f183ebb9b18b4d8aee3dd0f285b2bc80f183ebb9b18b4d8aee3dd0f285b&session=2bc80f183ebb9b18b4d8aee3dd0f285b2bc80f183ebb9b18b4d8aee3dd0f285b,,,,,,,,,,,
http://hoiniki.by/wp-content/ngg/modules/1/sa/index.php,,,,,,,,,,,
http://www.nnordson.com/%7b%7d/781687308acaa5e461dab88736b39e34/,,,,,,,,,,,
http://brimkers.com/ausinvcontracts/ms/,,,,,,,,,,,
http://shop.luigibaldo.com/cloud/logintoyouraccount.securebilling/mi/index/web/?cmd=_home&amp;dispatch=555606b0a4d860fd354737db90bab544fe7974ef615f736adf3f3e2bdbf7cdba,,,,,,,,,,,
http://shop.luigibaldo.com/cloud/logintoyouraccount.securebilling/mi/index/web/?cmd=_home&amp;dispatch=2ba3c72314b849ba8955e6f6f78ff91fbeba385965514ba08abc073eee3035aa,,,,,,,,,,,
http://besame.com/buscador/china/,,,,,,,,,,,
https://tetedebois.ca/wonderland/Gdoccc/,,,,,,,,,,,
http://freestyle.d934713.u-telcom.net/Boa_Fud_2016/home/login.php?cmd=login_submit&amp;id=955fff482125ffb3577497009f6b3eab955fff482125ffb3577497009f6b3eab&amp;session=955fff482125ffb3577497009f6b3eab955fff482125ffb3577497009f6b3eab,,,,,,,,,,,
http://zovermedical.com.sa/worthie/aptgd/,,,,,,,,,,,
http://cic.com.jo/libraries/openid/Auth/OpenID/system/login.php?id=/Dentro/promocao.do?=KYT0047JARMGBJKNKG6D6KA7PBYU47HO6CYGG71SYNAB9V1TD89JTKQJXQF2XXR5BRLSYNMYCXBLTCG9LPSFBK10BGCAE6GRX4KXR8X570Q1N8A0Y4PBORM29/CO7TG5Y34QB2VICNK1VVBV/38PUUR4V5T4/A0YDDQP,,,,,,,,,,,
http://nanotechnopolis.com/validdocument/38db23899b2225acc540a2cc9b4dae45/,,,,,,,,,,,
http://nanotechnopolis.com/viewdocs/a09cfd617135eb9c20d0bb6fd6cdd9c9/,,,,,,,,,,,
http://kohchang-holidays.com/t-online/t0nline/user-verify.htm,,,,,,,,,,,
http://www.web2sale.com/wordpress/wp-content/upgrade/pnc.htm,,,,,,,,,,,
http://capsilab.com/wp-admin/css/colors/adobepdf/,,,,,,,,,,,
http://scoreyourexback.com/aol.net/www.aol.com/index.htm,,,,,,,,,,,
https://deliziedallasicilia.com/view2/file/index.php?name=,,,,,,,,,,,
http://www.apple2api.com/indexx.html,,,,,,,,,,,
